id,net,batch,partition,opt,dropout,format,train_start,train_end,train_time,train_state,eval_state,test_start,test_end,test_state,loss,best_loss,accuracy,best_accuracy,f1_score,best_f1_score,miou,best_miou,precision,best_precision,recall,best_recall,eval_loss,best_eval_loss,eval_accuracy,best_eval_accuracy,eval_f1_score,best_eval_f1_score,eval_miou,best_eval_miou,eval_precision,best_eval_precision,eval_recall,best_eval_recall,test_loss,test_accuracy,test_f1_score,test_miou,test_precision,test_recall,machine
1,deeplab,4,702010,adam,0,hist,23/02/2021 14:37:33,23/02/2021 19:01:10,4:23:37,done,done,23/02/2021 19:01:20,23/02/2021 19:01:45,done,"0,064291","0,064291","0,979231","0,979231","0,979298","0,979298","0,588867","0,588867","0,918537","0,918537","0,903605","0,903605","0,071367","0,070110","0,848772","0,862445","0,848906","0,862881","0,589999","0,589999","0,919015","0,919015","0,904223","0,904223","0,059633","0,925338","0,925308","0,589718","0,918843","0,904087",
2,deeplab,4,702010,adam,0,hist,04/03/2021 23:44:00,05/03/2021 02:43:18,2:59:18,done,done,05/03/2021 02:43:29,05/03/2021 02:43:47,done,"0,072397","0,072397","0,978750","0,978750","0,978820","0,978820","0,584763","0,584763","0,916663","0,916663","0,901674","0,901674","0,076355","0,061964","0,853970","0,863648","0,854145","0,863803","0,585972","0,585972","0,917201","0,917201","0,902352","0,902352","0,085273","0,907605","0,907683","0,585486","0,917001","0,902188",FINOS-00
3,deeplab,4,702010,adam,0,hist,23/02/2021 17:39:50,23/02/2021 20:34:19,2:54:29,done,done,23/02/2021 20:34:29,23/02/2021 20:34:47,done,"0,060187","0,060187","0,980028","0,980028","0,980167","0,980167","0,585591","0,585591","0,916513","0,916513","0,902383","0,902383","0,062912","0,054828","0,849174","0,856180","0,849200","0,856376","0,586835","0,586835","0,917060","0,917060","0,903057","0,903057","0,096142","0,875243","0,875620","0,586302","0,916785","0,902817",
4,deeplab,4,702010,adam,0,hist,24/02/2021 14:26:04,24/02/2021 17:59:04,3:33:00,done,done,24/02/2021 17:59:11,24/02/2021 17:59:34,done,"0,071161","0,071161","0,976172","0,976172","0,976285","0,976285","0,584063","0,584063","0,916465","0,916465","0,900646","0,900646","0,210889","0,140796","0,852867","0,861458","0,853103","0,861836","0,585271","0,585271","0,916969","0,916969","0,901293","0,901293","0,093952","0,897068","0,897339","0,584870","0,916777","0,901122",2882e316c07a
5,deeplab,4,702010,adam,0,hist,03/03/2021 15:44:11,03/03/2021 18:40:43,2:56:32,done,done,03/03/2021 18:40:56,03/03/2021 18:41:15,done,"0,066786","0,066786","0,980836","0,980836","0,980931","0,980931","0,582569","0,582569","0,917530","0,917530","0,901615","0,901615","0,067809","0,058472","0,847701","0,860095","0,847760","0,860258","0,583908","0,583908","0,918067","0,918067","0,902307","0,902307","0,083145","0,884238","0,884675","0,583396","0,917799","0,902081",FINOS-00
6,deeplab,4,702010,adam,0,morf,23/02/2021 20:34:51,23/02/2021 23:45:34,3:10:43,done,done,23/02/2021 23:45:44,23/02/2021 23:46:03,done,"0,067891","0,067891","0,980701","0,980701","0,980792","0,980792","0,582276","0,582276","0,916201","0,916201","0,902221","0,902221","0,083332","0,053448","0,842890","0,865104","0,843209","0,865350","0,583543","0,583543","0,916752","0,916752","0,902899","0,902899","0,090145","0,922446","0,922588","0,583108","0,916528","0,902710",
7,deeplab,4,702010,adam,0,morf,23/02/2021 19:01:49,23/02/2021 23:28:58,4:27:09,done,done,23/02/2021 23:29:07,23/02/2021 23:29:33,done,"0,062782","0,062782","0,979770","0,979770","0,979839","0,979839","0,587727","0,587727","0,917045","0,917045","0,902378","0,902378","0,077015","0,064149","0,854601","0,863249","0,854812","0,863352","0,588903","0,588903","0,917584","0,917584","0,903058","0,903058","0,095793","0,907159","0,907139","0,588449","0,917389","0,902897",
8,deeplab,4,702010,adam,0,morf,23/02/2021 23:46:07,24/02/2021 02:52:05,3:05:58,done,done,24/02/2021 02:52:15,24/02/2021 02:52:34,done,"0,070973","0,070973","0,979383","0,979383","0,979450","0,979450","0,580272","0,580272","0,916274","0,916274","0,901470","0,901470","0,061489","0,054233","0,860188","0,860637","0,860518","0,861067","0,581575","0,581575","0,916831","0,916831","0,902170","0,902170","0,150600","0,915714","0,915737","0,581271","0,916677","0,902043",
9,deeplab,4,702010,adam,0,morf,24/02/2021 10:57:01,24/02/2021 14:25:33,3:28:32,done,done,24/02/2021 14:25:39,24/02/2021 14:26:01,done,"0,068940","0,068940","0,980129","0,980129","0,980204","0,980204","0,588028","0,588028","0,918026","0,918026","0,903007","0,903007","0,233264","0,112940","0,841863","0,866342","0,842055","0,866728","0,589149","0,589149","0,918523","0,918523","0,903649","0,903649","0,090342","0,888669","0,888477","0,588593","0,918248","0,903404",2882e316c07a
10,deeplab,4,702010,adam,0,morf,25/02/2021 01:15:56,25/02/2021 04:12:28,2:56:32,done,done,25/02/2021 04:12:39,25/02/2021 04:12:58,done,"0,076909","0,076909","0,977553","0,977553","0,977623","0,977623","0,589637","0,589637","0,919104","0,919104","0,902720","0,902720","0,093181","0,059639","0,838937","0,868768","0,839262","0,868977","0,590737","0,590737","0,919554","0,919554","0,903328","0,903328","0,085855","0,888112","0,888330","0,590164","0,919260","0,903075",FINOS-00
11,deeplab,4,702010,adam,0.2,hist,07/03/2021 11:50:50,07/03/2021 15:20:42,3:29:52,done,done,07/03/2021 15:20:48,07/03/2021 15:21:09,done,"0,087280","0,087280","0,971994","0,971994","0,971533","0,971533","0,540125","0,540125","0,903890","0,903890","0,876159","0,876159","0,067710","0,061423","0,834582","0,855019","0,835241","0,855297","0,541639","0,541639","0,904500","0,904500","0,877023","0,877023","0,093653","0,917669","0,918019","0,541444","0,904337","0,876939",c5da7508ea96
